ts	phase	decision	why	evidence	result
2026-09-19T23:55:33Z	frame	treat bun as the package manager and keep Node 24 as the app runtime	the runtime, desktop staging, and engines field are Node; swapping them is a different project	package.json engines node >=24 <25; apps/runtime scripts use node	open, reversible
2026-09-19T23:55:33Z	frame	architect skipped	the mapping is concrete once bun is package manager only; a second design bakeoff would not change the files we have to rewrite	how inventory of pnpm callers and bun docs for workspaces, overrides, trustedDependencies, --filter	skipped
2026-09-19T23:55:33Z	frame	done when bun install --frozen-lockfile, bun run typecheck, bun run lint, and bun run test succeed and automation no longer invokes pnpm	falsifiable on the real CLI and a grep of spawn/CI/docs with a product allowlist	tests/package-manager.test.ts (to add)	open
2026-09-19T23:55:33Z	scope	leave website npm, managed language-server npm, sample orbit-dash README, and pnpm lockfile icon names	those are not this repo's package manager	website/package-lock.json; apps/runtime/src/managed/npm; apps/web/src/seed.json; classicos98 associations	in
2026-09-20T00:00:48Z	install	generated bun.lock from the pnpm lockfile then deleted pnpm-lock.yaml and pnpm-workspace.yaml	keep resolved versions, then make bun the only workspace lockfile	bun install migrated lockfile; bun install --frozen-lockfile exit 0	VERIFIED
2026-09-20T00:00:48Z	callers	map pnpm --filter exec to bun run --filter scripts and pnpm exec to bunx	bun has no filter-exec for arbitrary binaries; packages already had tauri scripts	scripts/desktop/run.mjs; apps/runtime package.json build:desktop; examples/bundle-inspector build	open
2026-09-20T00:08:14Z	verify	bun install --frozen-lockfile, bun run lint, bun run typecheck, bun run build, and serial vitest all exited 0	prove the workspace on the real bun CLI	/opt/cursor/artifacts/bun_workspace_verification.log; vitest 706 passed with maxWorkers=1	VERIFIED
2026-09-20T00:08:14Z	verify	default vitest maxWorkers=2 failed settings watcher poll once per full run	isolated and serial runs of the same test pass; likely CPU contention with git tests, not a bun command mapping bug	apps/runtime/tests/settings.test.ts:91 expect.poll	INCONCLUSIVE as bun regression, flake under load
2026-09-20T00:16:17Z	comments	accepted Comment Sicko deletions in 1be2e76	narration and workaround alibis in the bun switch scripts, not behavior	commit 1be2e76, 8 files, 17 comment lines removed	kept, no restores
2026-09-20T00:16:17Z	verify	re-ran frozen install, lint, typecheck, contract tests, serial vitest, and production build on 1be2e76	prove the Phase A predicate on the real bun CLI after the comment strip	/opt/cursor/artifacts/bun_workspace_phase_e.log	VERIFIED 706 passed, 2 skipped, lint typecheck build frozen-install 0
2026-09-20T00:16:17Z	callers	mapped extra args still reach Playwright on iOS CI	bun run test:browser -- --project webkit-phone ran playwright test --project webkit-phone	GitHub Actions job 105989861984	VERIFIED command mapping
2026-09-20T00:16:17Z	verify	iOS check failed two webkit-phone preview-trust touch-target assertions	toolbar control height 25 vs expected 44, same job already failed on the merged trust-controls PR	PR 23 iOS check fail; tests/browser/preview-resources.ts:67	not a bun mapping defect, left unfixed
2026-09-20T00:16:17Z	encode	package-manager.test.ts is the leftover-pnpm and lockfile gate	docs rewrite once mangled install.sh, so encode the allowlist in a test instead of a checklist	tests/package-manager.test.ts	2 tests passed
2026-09-20T00:16:25Z	handback	Phase A predicate holds on frozen install, lint, typecheck, serial test, build, and leftover-pnpm grep	automation callers use bun; default two-worker vitest remains a load flake; iOS preview-trust red is pre-existing	PR 24; tests/package-manager.test.ts; bun_workspace_phase_e.log	VERIFIED with two documented exceptions
2026-09-20T00:20:12Z	verify	default bun run test (maxWorkers 2) failed settings poll and runtime git commit timeout	same vitest.config maxWorkers 2 as main; serial maxWorkers 1 passed 706; not a lockfile mapping bug	/opt/cursor/artifacts/bun_default_vitest.log	NOT VERIFIED for bun run test, VERIFIED for serial vitest
2026-09-20T00:42:06Z	comments	restored three non-obvious whys that Comment Sicko deleted	darwin node-pty 0644, Tauri xcode env strip, OXBIT_REMOTE_TARGETS Docker cross-build, and ios signing env after desktop:build	scripts/repair-pty.mjs; scripts/ios/run.mjs; scripts/release.mjs	restored
2026-09-20T00:42:06Z	verify	GitHub Desktop bun run test passed 83 files on macos and ubuntu	same vitest maxWorkers 2 as main; this Cloud VM is slower and flakes git tests	Desktop run 35478505603 jobs 105992034479 and 105992034545, about 25s	VERIFIED on GitHub runners
2026-09-20T00:42:06Z	verify	GitHub Desktop then failed bun run test:browser	Playwright red overlaps the merged trust-controls PR. iOS check still red on preview-trust height. ubuntu webkit-phone preview-trust passed on Desktop.	Desktop run 35478505603; iOS run 35478505606	not treated as a bun mapping defect
